exercise_id,exercise_name,description,target_muscle_group,difficulty_level,equipment_needed,exercise_category,estimated_calories_per_min,default_duration_seconds,source
1,Archer Pull-up,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,back,advanced,bodyweight,strength,5.0,60,gym_dataset
2,Chin-up,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,back,advanced,bodyweight,strength,5.0,60,gym_dataset
3,Inverted Row:  Feet Elevated,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",back,advanced,bodyweight,strength,5.0,60,gym_dataset
4,One Arm Pull-up New!,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,back,advanced,bodyweight,strength,5.0,60,gym_dataset
5,Parallel Close Grip Pull-up,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,back,advanced,bodyweight,strength,5.0,60,gym_dataset
6,Pull-up,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,back,advanced,bodyweight,strength,5.0,60,gym_dataset
7,Decline Push-up:  on stability ball,"Keeping hips straight, lower upper body to floor by bending arms. To allow for full descent, pull head back slightly without arching back. Push body up until arms are extended. Repeat.",chest,advanced,bodyweight,strength,5.0,60,gym_dataset
8,Discs:  Pike,"From plank position, raise rear end up as high as possible by bending hips. Pullgliding discstoward hands while keeping knees straight. Return by extending hips to original position. Repeat.",hips,advanced,bodyweight,strength,5.0,60,gym_dataset
9,"Leg Raises:  Hanging Leg Raise

with ab straps
Straight Leg",Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended downward. Repeat.,hips,advanced,bodyweight,strength,5.0,60,gym_dataset
10,"Leg Raises:  Incline Straight Leg Raise

arms on pads","With knees straight, raise legs by flexing hips until hips are completely flexed. Return until hips and knees are extended. Repeat.",hips,advanced,bodyweight,strength,5.0,60,gym_dataset
11,"Leg Raises:  Vertical Leg Raise

on parallel bars
Straight Leg",Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended. Repeat.,hips,advanced,bodyweight,strength,5.0,60,gym_dataset
12,Single Leg Squat,Squat down as far as possible while keeping leg elevated off of floor. Keep back as straight as possible and supporting knee pointed same direction as foot supporting. Raise body back up to original position until knee and hip of supporting leg is straight. Repeat and continue with opposite leg.,hips,advanced,bodyweight,strength,5.0,60,gym_dataset
13,Single Leg Stiff Leg Deadlift,"Lower torso forward and downward while raising lifted leg back behind. Keep back straight and knee of supporting leg slightly bend. Keep hip and knee of lifted leg extended throughout movement. Once stretch is felt or hands contact floor, return to original position by raising torso while lowering lifted leg. Straighten knee of supporting leg as torso becomes upright. Repeat.",hips,advanced,bodyweight,strength,5.0,60,gym_dataset
14,Split Squat:  Single Leg Split Squat,Squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward leg and repeat. Continue with opposite leg.,hips,advanced,bodyweight,strength,5.0,60,gym_dataset
15,Squat,"Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet.   Descend until thighs are just past parallel to floor. Squat up by extending knees and hips until legs are straight. Return and repeat.",hips,advanced,bodyweight,strength,5.0,60,gym_dataset
